,sample,unique seqs,max,mean,median,variance,skew,kurtosis,gini
0,liquid_1,149911,84,13.39,12.0,79.17,1.03,1.49,0.36
1,semisolid_1,159037,4307,12.58,11.0,531.04,64.35,8804.28,0.39
2,small_spread_1,152552,677,13.15,7.0,609.96,9.22,127.03,0.57
3,bead_1,90034,174,22.31,18.0,347.98,1.29,1.98,0.45
4,large_spread_1,140788,201,14.25,10.0,198.79,2.42,9.76,0.48
5,liquid_2,185519,164,25.66,23.0,299.76,0.99,1.31,0.37
6,semisolid_2,197661,2377,24.15,22.0,529.77,23.28,1479.53,0.36
7,small_spread_2,196799,341,24.33,18.0,545.82,2.43,10.78,0.47
8,bead_2,115312,371,41.32,28.0,1683.45,1.65,3.34,0.51
9,large_spread_2,195654,207,24.46,20.0,351.0,1.35,2.51,0.41
