,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,2859.94922231763,2664.24177812348,2917.7297891952,2725.10808175301,2826.60674510659,2670.24293182403,2667.8265348429,2931.89995824209,2810.74288084786,2858.01917487509,2974.89462196253,2169.00320268552,2598.84311589295,2577.92423784267,2814.05254306373,2656.78230679339,2732.67330243168,2609.24358869146,2649.65129196532,2696.02116300477,2758.59529424757,2753.59218048195,3371.9956089645,2168.33361925261,2745.34543692779,2644.97639103962,2921.44661076929,2800.73665331661,2842.10243594207,2715.82431232896,2955.76105607126,2745.79158222097,2845.26711921231,2884.93920662593,3025.12483154915,2186.41602687257,2658.69944014496,2594.06344026705,2856.40320787107,2673.48656161257,2660.07881125621,2624.16228768955,2727.03934750601,2667.31460078448,2755.2858756938,2786.85595483678,2996.90437520536,2149.86988045633,2818.80614684562,2905.17656180071,2808.31381343786,2819.65945149702,2916.81167042693,2860.77669878712,2767.64368608931,3033.55529632179,2987.48780994036,2908.90507915529,2306.1549908827,2163.25155896869,2694.52410310237,2654.02478288136,2672.64617105212,2619.2239880408,2770.0469253174,2754.69499511708,2677.04549015008,2895.13013002404,2847.78926554202,2812.16123789406,2271.24942134193,2162.39825431729,2749.94139133519,2744.46508578401,2646.00050281856,2716.46806757996,2843.65237051876,2850.59868947996,2737.54459500472,2975.94553657175,2934.46109050676,2901.81402491055,2292.22239237696,2177.2640786411,2823.82217470219,2656.02086275123,2746.2245697611,2650.78115309283,2761.48463935217,2696.32257301442,2616.88653757795,2868.37968709027,2773.31638328784,2724.91144644356,2263.69930771306,2161.51790317351
,2,2863.2588845335,2680.61757644064,2910.91529142658,2725.41046641103,2821.11752546446,2665.59410274235,2662.52103641925,2939.55606488163,2804.92544836579,2846.61944383118,2972.17584032337,2170.14597790398,2599.26318934212,2589.96650582712,2809.24582094546,2649.9926625583,2739.55383262764,2608.81060115133,2640.69597904329,2686.10679608277,2752.55417996368,2748.81153020768,3362.19990548203,2174.93856762083,2735.4568981877,2663.02005638672,2934.2503227959,2803.19179257061,2853.47512049361,2711.5297679312,2986.5168164978,2759.42277071706,2843.53346341713,2875.74729781112,3004.87456228341,2188.7015773095,2658.18750608654,2600.82628167186,2866.01640844552,2687.83923356748,2671.0302040481,2630.2684597524,2742.66661587197,2701.484554465,2771.99013051298,2775.03712499207,2985.09748480322,2152.19417316613,2813.8288612619,2911.95207363438,2881.28841747917,2826.73856629917,2927.76306321883,2867.92062770614,2777.44036422016,3036.26116387,2991.09985681425,2910.08781495709,2302.21570581725,2168.18888396907,2704.08442900253,2640.31464786698,2655.44289626547,2654.98286223296,2761.9178705544,2767.07863369451,2682.65239858337,2891.15112803735,2842.5354234822,2801.11676618245,2267.20536157628,2165.03808943816,2821.49885664077,2752.54126587273,2834.20973340975,2734.57654704392,2842.75910528402,2844.55854984444,2737.7024880413,2964.06091796179,2932.50375290976,2881.30133157012,2285.78678916371,2178.37980736719,2819.31808090404,2657.11076329541,2742.46900591415,2650.28213312536,2762.61450047968,2690.72857867208,2619.00152454944,2864.92650790134,2757.30900205604,2714.10381428683,2270.88222256704,2171.60307722305
,3,2871.11265018963,2693.14616446433,2917.44258109675,2733.86918446315,2820.77740002169,2670.1522498759,2666.55433381524,2950.01071455093,2804.4934551257,2843.94187815085,2972.85989379194,2174.17808330641,2602.50796793216,2600.65662252861,2810.88885691658,2650.20435646276,2735.98295405724,2609.21891227341,2640.91960829186,2682.43014452447,2750.80882434216,2749.81078396667,3374.82065502036,2176.55549540202,2743.82254171373,2669.25898424686,2948.75024998491,2803.11408340557,2853.25269817726,2708.43206898483,3012.37532392237,2768.57691570473,2835.9975157479,2866.14827650549,3024.74507922074,2190.56680294884,2659.98715017261,2614.82582318171,2866.50377965682,2693.38251679934,2667.06626809964,2639.02830228733,2752.58244150358,2708.57680433225,2773.80371357939,2781.84091128094,2991.1399194389,2151.38080411422,2820.89533252699,2899.25441609958,2882.786749904,2838.79402682932,2927.19954661329,2867.63242297207,2792.84542726683,3037.86433944952,2994.25294771948,2907.64589864145,2299.445064527,2166.36432384322,2703.62558840697,2689.08797050589,2715.45831221422,2661.78659552734,2766.12177536698,2768.8264257986,2698.59640057735,2889.91776787985,2841.46090961978,2797.41531184748,2270.34521884253,2158.85319283374,2818.86026582385,2765.04503210055,2829.16912622575,2738.97707518371,2837.91489360794,2844.48085893956,2744.71580734277,2958.90024263174,2931.65174235082,2875.20958643803,2287.57432941638,2182.13633445481,2826.88357477993,2664.5441206566,2744.05913771095,2656.99302904614,2765.71461582903,2699.65925509832,2631.51717127785,2866.39778659936,2759.1484068352,2710.3104608927,2276.00524811066,2170.98732678369
,4,2872.8991814477,2709.60067290105,2914.43554587363,2738.00608131253,2824.02103124203,2685.35945150546,2682.22059503157,2948.61842873415,2806.83090662034,2828.89256962756,2972.08529165481,2172.20904905974,2602.39027908906,2617.74221606604,2806.43666117905,2653.51402013959,2728.13045230409,2607.78764050446,2652.06861596298,2677.30909604506,2750.11316875817,2735.98295405724,3377.23680940594,2182.56956584827,2739.83038021178,2691.2558331086,2942.97155722488,2802.10312893342,2848.77443058422,2705.4250337617,3032.7162444658,2768.57691570473,2829.65401400584,2848.13189336006,3016.77367031348,2190.19960401187,2664.2429541761,2640.80191944875,2863.60151918014,2687.47322109954,2668.313818569,2648.06354036436,2764.19050876148,2711.41327601464,2774.5264156677,2771.41338738712,2984.56079634843,2153.99481220706,2830.46833308174,2911.13903995566,2882.98435994905,2838.17731779847,2920.90989421765,2869.32611893155,2815.41902455846,3035.26446376435,2985.0210742462,2905.15079770272,2303.14872998292,2161.61071796299,2703.27130356664,2687.81459184321,2714.24974769703,2668.60231461504,2759.63451292629,2768.56400160807,2718.09717385157,2881.19782869097,2834.17224219986,2796.89046346642,2272.36737144902,2161.41408256675,2821.28957796829,2780.17328717697,2820.96112132128,2747.73697497356,2838.12444310084,2837.04745617221,2766.85739155194,2952.42711259872,2927.0158253137,2868.18431785744,2289.87182031006,2181.00769113956,2828.38063534316,2674.47286802487,2742.37835584813,2655.35220778429,2765.7794299745,2703.11341046037,2653.31616643234,2863.33787667861,2789.16856465303,2713.94711924333,2266.44491799037,2166.27246319343
,5,2872.62135681374,2742.32427063061,2917.24490162916,2742.56086652339,2825.20154581344,2694.77361308611,2711.25442976556,2961.78828161582,2809.31185337279,2830.65080487224,2971.63807808304,2173.59915709292,2608.19364873061,2647.72100086069,2806.79068169145,2650.91175597494,2730.49252669494,2612.89437783821,2672.92150921777,2680.85295402295,2746.82958273924,2731.96375841543,3377.84033160104,2178.45875388548,2746.51404032817,2724.71481113412,2934.1455480957,2808.98339687077,2844.37385397758,2709.12652870311,3054.47539268254,2777.40040363682,2837.59809848182,2840.51351543042,3008.26292735547,2195.70077094499,2665.48932804214,2672.4224892503,2856.86348556567,2696.5591689072,2662.17966582627,2655.50892869281,2787.13129300243,2723.0201412739,2780.74880812556,2773.63192569891,2976.62827775771,2152.36498029367,2841.66920473984,2925.43877050903,2894.76195660077,2844.32195395167,2919.31968435522,2866.30490436421,2847.98590085147,3030.02341427666,2980.6333515884,2903.66536949689,2302.46521580098,2161.84635967554,2699.2389646114,2703.49354842582,2722.8366637175,2680.52571583139,2757.47956552148,2767.89319607304,2740.52580071857,2878.47899354123,2834.17099113689,2791.75429390221,2269.2143555371,2158.4979551868,2821.56367075764,2806.92152823566,2822.70644597611,2756.61212846866,2848.91790835907,2836.52135569069,2799.23959341421,2945.2687226635,2928.1833803301,2869.23299174168,2286.39180214184,2176.73801218125,2829.44321553691,2695.33866548091,2745.4760398099,2668.0360842433,2758.0704460982,2700.05230867947,2686.07974959039,2861.48526815498,2790.15245929961,2732.60751366643,2274.94017107202,2159.28522741087
,6,2878.19079346785,2793.14781205833,2922.86601436766,2755.69425147316,2824.45426263549,2715.30066277015,2756.25906045519,2982.0656954097,2822.07685053987,2839.4648288688,2964.13995460306,2169.97637231155,2609.53421116156,2703.21818520682,2803.57436130335,2667.09233995515,2732.41086618989,2631.832470166,2718.5701221838,2697.79499559811,2767.21167639226,2743.20583268288,3371.68277319527,2177.32985387695,2757.13941198757,2783.46881844613,2942.3019734964,2824.28369909476,2847.75056201542,2729.45670566439,3103.69601827967,2794.15876653048,2845.80735596206,2857.38959502664,3021.58015089133,2188.79440409843,2669.23315605355,2717.76871720455,2859.26798693452,2706.22643874095,2670.13933577924,2671.76699928224,2822.19575769398,2743.88833050802,2801.86653293621,2783.61355379356,2982.74843689704,2147.30969605913,2834.27701694631,2954.69853163688,2907.85642278315,2869.40604013349,2920.81803356786,2876.98320359946,2902.74755741379,3025.32280229942,2983.72064907921,2906.46413696637,2298.86831609712,2154.69022412885,2703.06053576274,2740.65883169534,2733.39599246872,2694.17003303313,2762.1944280105,2771.29569854401,2793.29132909475,2882.6690610609,2843.15460557926,2797.95331798739,2266.05067254907,2155.20240207545,2827.04122422401,2851.50612752016,2828.20982814023,2774.27690557383,2854.89449408792,2847.63287317231,2856.32576585687,2946.67424803199,2932.21679499505,2869.37899362917,2282.18988209764,2174.50629629122,2834.99947537241,2738.47805499596,2758.88598264468,2690.80871296968,2762.07673916739,2717.78163130121,2736.95516623942,2873.22641978371,2802.90453391267,2746.43654980657,2273.11590173064,2157.72333120748
,7,2901.47521452655,2863.2614110233,2923.8782581563,2784.9539493068,2838.36229070535,2747.04155607916,2831.20519771798,3016.94556420977,2852.09826602201,2850.24691980208,2970.22234190703,2167.83651214466,2622.20750754287,2762.07795713625,2812.09768681059,2695.16926187335,2744.50746807083,2661.19688817404,2780.80413653086,2727.40895289697,2797.95455177643,2757.45495215722,3374.38891160106,2177.25186740713,2774.68528863998,2867.30547435736,2947.42407801289,2852.83388253135,2859.24220124471,2761.84136103471,3169.54103420188,2835.92006338732,2887.44976838739,2873.79273965867,3024.33900963637,2192.15669081764,2688.45953288438,2791.74384319526,2863.79917373815,2743.8378840471,2679.09583403131,2697.90096001386,2890.91708303724,2777.24520485301,2829.53757287866,2806.21543502127,2985.11425121519,2144.65789138697,2864.70559752574,3006.42739333906,2924.2854178738,2896.78763903576,2930.39256997386,2900.97619411875,2980.55703505944,3037.94438195568,3006.20371133986,2929.23687964468,2299.91927069631,2162.26834107098,2701.56466648436,2783.79825897762,2749.66823576471,2725.41287126579,2768.81473264146,2796.90461088914,2865.53283106307,2889.814267429,2854.34385785708,2813.31940962538,2265.35601589891,2157.83003212179,2830.40379238535,2908.31676482441,2846.35953133239,2821.25183607836,2879.01929617585,2872.55810274154,2929.05315826408,2961.4366100497,2948.77737847426,2884.25901045768,2283.20208703523,2175.7160638767,2842.52501758364,2798.41458621487,2777.66527867285,2724.41483045021,2780.14746660947,2735.89229982945,2798.92652072501,2870.52303514101,2827.51541938048,2774.73718871169,2269.64958943686,2159.15652972922
,8,2922.72127902024,2936.45846659088,2940.79175517431,2829.2739009722,2864.35004946176,2808.14424588399,2908.88053501415,3074.13492004861,2905.36132184443,2887.19898504056,2969.47250187298,2171.94540655821,2645.41078998156,2834.4604945837,2830.11404824141,2740.64469928768,2772.45138836358,2711.57092545872,2849.6547821166,2773.96136302347,2839.08349752417,2790.67853931292,3386.31103343515,2172.44442674595,2809.52361760412,2958.16584475778,2964.13995460306,2906.08402393273,2890.27205272017,2821.50010210999,3252.12747762943,2894.48765246049,2936.78667957569,2913.77887624181,3035.19843130787,2183.23914957675,2718.478261534,2866.9886674369,2880.12084176234,2782.22126797677,2699.25307020917,2753.34388588186,2965.58511511747,2830.33773014198,2881.70976297537,2841.81519446011,2990.66794575547,2146.24586688935,2885.11104363979,3080.20210885469,2959.96407180151,2949.78727631257,2959.01914978585,2946.45178444243,3062.80219107791,3056.78812063166,3029.3420103057,2960.2406283997,2296.17560511335,2157.82908060274,2717.3615576666,2841.15852482828,2780.40866486318,2771.68994398531,2804.16499847869,2833.12132712674,2940.0692967482,2914.05421452899,2879.8325893785,2845.60974591701,2263.84504230519,2154.1912039411,2842.91800958205,2992.3487276183,2880.13497417,2876.70664700127,2921.55364975282,2918.51956802538,3011.77055433937,2982.01282071207,2975.7363260753,2930.96924452569,2285.31582447487,2175.26895898049,2849.31341137293,2863.07545248808,2813.54160729939,2780.88185685761,2806.93568136679,2779.109214345,2882.68197515755,2896.4449909215,2860.19999485352,2810.19222668379,2276.32054699881,2163.38433512441
,9,2972.34664745091,3005.4924893525,2972.55717149969,2880.52697343701,2906.40997931795,2886.06906775344,2989.43198978431,3145.59819310905,2959.77928765499,2933.48887875374,2989.06381636105,2170.14597790398,2688.8901481767,2897.07333521962,2865.35973910356,2796.27130179132,2819.51569086186,2783.90057730485,2922.09036602029,2840.0802842282,2897.69126228871,2834.24969399308,3403.69750930007,2177.82791272543,2861.17094405438,3037.19317137759,2992.13663902205,2978.29590112555,2932.63557410234,2902.99578606398,3328.41030832945,2970.53404513744,3000.80369968747,2969.16880642762,3059.15004994613,2187.47985557274,2766.76333494553,2936.23348857481,2912.30635831831,2841.43260884707,2739.76435667641,2830.24462016239,3038.51966781455,2903.58764128906,2934.63165397221,2893.96152662366,3005.95154873663,2148.39864873584,2909.66774150791,3139.04514476674,3008.85380793219,3026.53027450439,3009.68128440168,3011.44076837877,3143.58919914823,3093.76614891984,3077.00999407474,3017.91511386488,2295.26816854558,2157.14563056794,2739.35719731819,2899.25313630798,2822.53588251066,2836.84956853062,2845.70132506291,2889.08901574015,3005.17719060352,2946.59521910046,2925.42561275598,2895.98343467544,2266.79820221806,2152.43076905891,2857.69071837307,3071.0607404001,2931.43992420959,2950.31082236408,2980.85581507976,2981.81486907973,3076.45809943299,3023.82440695619,3027.42232142866,2993.89612299914,2279.667946672,2168.54414330138,2873.48879386657,2924.70315464878,2859.29255297567,2843.8490058282,2856.84935316425,2839.46357546958,2952.81883629237,2934.18453403065,2909.81125848098,2860.2905929106,2269.93705730639,2161.53081726447
,10,3020.12305092907,3044.88936436792,3011.36315113922,2942.59022588024,2965.38750507242,2969.47250187298,3046.72779567482,3219.99355021751,3021.06821660693,2991.7437143731,3007.01670479694,2169.2665843199,2742.61495184534,2944.24493588755,2899.45202614463,2852.32044659606,2869.20843008844,2855.73488501933,2970.0363362062,2901.51292104109,2950.54872069084,2885.7418850783,3422.04385155653,2175.25482657283,2919.80707909571,3096.1178801649,3041.77755439834,3049.63005615149,2998.12620206733,2988.13288421578,3379.73191034467,3050.33984414314,3061.69840130716,3030.37903663335,3087.05657023235,2185.66846172119,2824.99324342421,2986.05785691166,2947.05557937663,2903.20759164937,2787.77627883625,2918.40187918228,3091.69248726948,2970.31289280439,2992.19083451202,2953.09669632719,3027.2270224006,2142.09703059212,2945.78195705175,3181.76563115741,3060.30709013918,3093.00607019532,3065.96711940731,3071.67880506206,3192.10031975263,3138.82406681805,3123.53791863535,3079.7160027636,2297.98796456474,2153.90295155726,2774.70989330509,2932.37444443913,2874.21154606255,2902.39327257347,2901.06677555097,2947.64646021417,3046.96439167204,2988.42235491062,2971.53339676943,2948.18544100288,2265.6834736121,2151.67027480907,2897.65258078989,3131.86361238293,2990.73275990095,3025.51943769567,3039.40014230272,3047.71292195365,3120.58278346105,3066.0589800571,3079.89972406319,3054.43678039155,2282.34777520392,2170.00220050486,2906.10985212604,2970.41766755084,2911.67802074438,2912.97747126256,2906.62203007265,2902.02607363649,3003.62833822918,2977.8771421737,2966.62214144513,2921.59263570499,2273.68071071267,2157.85515245825
