,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,2957.19102147706,2765.92172310763,2815.48232737813,2849.44271666322,2757.92449306834,2830.3223169675,2758.22687759285,3086.51608246649,2821.76003478291,2868.48319522757,2263.90785749745,2173.59819735264,2683.88584935611,2702.75673917827,2721.32524447592,2721.92903887699,2677.34571799252,2742.31014568777,2736.32190872224,2833.95897210709,2780.3143492909,2822.36382918397,2629.46686874872,2166.54710680461,2795.88995441571,2769.46773598847,2825.71223219424,2928.3268226271,2761.07626085598,2888.93009077454,3066.80480245496,2954.30167764823,2828.61449010832,2935.91689348795,2260.62524322338,2170.56533661412,2699.70974604457,2739.88083568832,2726.65681238945,2791.70018656813,2619.86658650418,2756.91353948883,2801.39208571937,2774.30028415486,2672.21078530162,2771.08248396904,2226.41656237465,2156.46096256018,2865.04293164862,2835.6007665681,2947.76252093258,2937.89981472922,2965.28011208503,2871.99046585264,2648.38965857387,2734.49639312386,2926.94745212491,2843.30974447807,2156.42197664244,2160.67655857827,2655.13933924535,2593.28793708198,2627.26002214241,2778.35823086807,2798.02955031392,2722.11276001436,2662.16557627082,2712.21228620319,2795.74521919609,2863.41526958279,2118.129277248,2175.71318339027,2838.24060052336,2762.62619474831,2940.15856133853,2938.59546969897,2931.35968336562,2844.99052485682,2759.28973117535,2810.13784537935,2901.5632337576,2948.97010973471,2149.80289879541,2164.80053768966,2804.55676759226,2654.19417440203,2777.097767415,2769.79619234546,2816.20502882831,2724.31936295869,2684.38486910324,2709.19112123999,2803.01974778519,2811.75259335992,2144.81270132413,2182.81714858925
,2,2957.65269216237,2759.76535952826,2798.34756342868,2839.1624440773,2752.92381224725,2821.43431331571,2746.98844469194,3091.70540136613,2798.57100166704,2847.80343671304,2273.56180355856,2171.98536715918,2669.37667308997,2701.31396510563,2698.43875113327,2720.22483219111,2675.47090840036,2748.60319409828,2724.79496043395,2822.69477788173,2770.25769756755,2813.76528919995,2647.60448077759,2188.70254344863,2769.45726723711,2771.7818046351,2814.97287906834,2889.99647077079,2748.37951219772,2872.1764793594,3089.0926115843,2935.39439375891,2816.49576782488,2919.15040946389,2266.23439384866,2167.29755007323,2679.42310930135,2730.00762590096,2716.69173027593,2782.35284556534,2614.52441303901,2764.59766829943,2803.75783894074,2766.93511979407,2734.28925809776,2836.32597239491,2227.08713730401,2172.53726204455,2835.77407750954,2838.7421267805,2937.86366650432,2933.30645235813,2960.91045579038,2834.52652704018,2746.6071133473,2707.13164381784,2905.13788360607,2889.98355667413,2162.00496340429,2168.9654178394,2642.28606591533,2564.76712961195,2833.02946647694,2778.24202057147,2790.25846567832,2731.37408352443,2661.4983431435,2749.06225368505,2798.04615328599,2861.11933233807,2111.84052043928,2193.535095882,2822.57587072762,2751.58440112809,2914.6850559675,2933.75259784825,2930.91612616586,2831.62426656351,2754.7490857953,2807.63231159959,2904.96707640313,2939.01935632389,2150.38276373873,2172.18200255543,2788.10473548326,2663.428391438,2765.3603309887,2750.3755929487,2816.69362153213,2720.15904339683,2668.03726197081,2706.19939223663,2787.99996073681,2785.33405259515,2146.46954878991,2215.76732242996
,3,2954.19951144913,2773.98743487898,2812.26822863671,2841.31617427236,2757.73029282511,2824.92745462992,2766.4760602073,3098.74480235439,2806.00342978559,2850.5609618423,2277.19968022019,2176.73897303941,2673.54061644366,2707.32925386289,2705.2142659578,2715.6149870095,2673.4087951929,2744.17780120286,2728.09049170312,2818.570795129,2774.14508432306,2812.53065282724,2666.51437321426,2201.24383693653,2769.07593589247,2781.59140118706,2814.40807008631,2872.50493600641,2749.73305572454,2867.54056232227,3109.11945155058,2928.65762122435,2814.5915477237,2909.73384004222,2267.78432910952,2171.77581766628,2679.14752735196,2733.60676027263,2722.3388454474,2781.64330123589,2614.01247875461,2767.39539769185,2818.8731799205,2818.47893447921,2739.47609537145,2828.78779488111,2236.25419663181,2186.9959333925,2830.36355833529,2848.21059625099,2942.74787532431,2949.64254096515,2964.32465055145,2828.4593382341,2755.74712617079,2777.97959638094,2895.73520292985,2893.50276984386,2162.93721498549,2171.78873176294,2637.47934167527,2622.25922594906,2762.87814414663,2807.59235099862,2793.86929583563,2736.88913378293,2697.12516820743,2755.73421207413,2798.66286231684,2857.1929596304,2118.47251822738,2217.22564070322,2817.95408609815,2759.91009487568,2912.4523792193,2931.2974575105,2932.51796147555,2830.6001543325,2766.30549666657,2802.79975916622,2898.6764493587,2931.67781420633,2152.64126868024,2169.49026622046,2794.89438271544,2671.93780648517,2772.75279850628,2758.95079679016,2821.26350611277,2720.85469898082,2668.8257528534,2706.18647813997,2795.4192310965,2787.39494749161,2153.10154657802,2250.65999328212
,4,2963.69250087644,2791.26818802569,2812.03039134986,2850.44201475385,2767.64368608931,2828.48513618531,2771.51693872742,3106.22873401555,2816.32396109924,2855.40516793614,2281.65111245091,2172.94248775096,2673.34182632904,2718.910292743,2703.82200492784,2725.56811578552,2673.44660102924,2749.0091401655,2732.55439533005,2815.69433824966,2780.78876870889,2812.62127192657,2681.75913334864,2203.77695103371,2774.38045565011,2789.692181605,2820.36899551326,2865.8187984877,2750.00718010044,2870.54657408768,3127.16150080516,2947.77673659179,2815.41778177355,2910.77055614304,2272.36636837849,2174.74193231139,2674.35278035492,2741.57574067941,2722.24578314079,2781.47150989485,2616.70306002155,2766.10764025195,2850.57261763596,2827.09285098311,2753.44744519842,2830.67785136462,2245.1566223985,2189.4501072607,2824.67669766406,2868.6820717483,2945.68903977477,2955.40579673895,2959.09654646904,2841.01253539789,2775.24667439247,2794.4718572309,2887.86851231386,2905.71432404104,2167.70277809256,2169.00320268552,2637.12389275273,2639.92040259971,2756.88868494477,2811.29477548961,2793.434831361,2738.39789965612,2716.19151110385,2766.43487844351,2807.69588636877,2856.35033319678,2122.02953697839,2221.7158416806,2822.48276417428,2776.17990021053,2915.34043870644,2928.94482437225,2932.53079940214,2835.83861450473,2782.04923271851,2805.4902570985,2911.15066900889,2929.4708908321,2154.41393483782,2173.16616955279,2797.57172638427,2691.47710862328,2778.2807547806,2788.20827945565,2829.85037489513,2731.01859315479,2686.02784956448,2714.77339771974,2799.90917684712,2791.34713454399,2163.9211424016,2256.12214759181
,5,2977.41686427592,2809.39179635335,2834.51361294352,2857.37668092999,2786.29213236967,2839.24114696824,2798.16384212909,3119.76943903395,2844.46794484291,2864.62538774894,2277.1080632326,2167.98029156057,2682.43014452447,2732.66037628376,2710.7305345273,2720.9204877751,2690.27070682977,2762.39203805555,2746.42339204771,2818.70261637977,2802.51028847137,2819.79251740505,2685.49005444522,2203.46359958807,2786.89592730386,2812.18830743477,2827.27782022122,2857.29773437685,2769.9433733282,2873.24055219137,3137.26097379833,2936.58906953064,2842.61562479055,2922.14453059036,2275.991115703,2176.8050054959,2683.99299388199,2766.52796025612,2739.38423472166,2792.63465946293,2631.79250956503,2776.5741528053,2865.54448157129,2844.53275898839,2776.92965595663,2839.93680255223,2246.97021657167,2192.58993020414,2826.81754232345,2900.34529177367,2947.14744002642,2956.773558941,2968.59215034059,2847.26445592433,2812.85910947425,2828.57824538821,2898.83409880277,2915.56540749988,2175.67514386964,2169.30654492087,2643.6513052278,2660.92037640262,2760.93396344448,2819.67361025094,2794.07981997734,2750.15312935914,2753.64627067336,2781.47273769515,2813.94901049954,2859.29381512783,2137.55297420479,2226.759898968,2825.00615752086,2806.83090662034,2930.60082727771,2935.76159269589,2932.58399393203,2853.34455882706,2807.92080764563,2818.44019218924,2918.80903872022,2941.04126526818,2160.57369163533,2176.56840949868,2809.96976309423,2717.63811426479,2784.42787286946,2779.24006094696,2842.28716814353,2748.89266479313,2718.60910813597,2730.66429553278,2803.62723600097,2795.60295239609,2172.2219631564,2282.79367703183
,6,2994.64597484977,2840.35711984904,2861.35592833529,2877.36331663309,2825.01907161752,2859.8447353644,2823.08902332302,3139.48073644987,2878.09893281805,2889.35271523562,2284.43547294249,2168.34749049755,2695.44463000681,2767.04111285153,2732.28026325013,2743.24579328386,2717.86057785435,2777.03443070308,2773.89557422919,2834.26410284965,2827.98736455067,2831.80774420089,2686.96128681514,2202.75405525862,2804.50636922235,2856.20783335157,2857.06113837963,2873.96203596867,2801.24982390536,2901.51292104109,3164.94368012151,2951.84914585783,2874.56583090287,2934.13392919289,2275.51914201957,2178.32789425244,2705.2142659578,2797.33660895654,2763.14056833716,2808.32796718358,2658.21475132219,2799.69988864449,2900.50196656894,2860.23898080569,2816.40415083729,2859.26798693452,2243.71245294366,2196.75265524683,2845.83318415538,2943.14212076561,2968.00151316525,2977.02261883463,2981.29133693477,2877.19275309236,2856.72001129817,2868.87997344143,2919.58339719515,2937.52229576065,2171.3157834307,2167.19180067798,2663.65207333856,2705.83219329965,2788.87909395819,2833.84378555284,2806.843820717,2782.54948096158,2799.17479660124,2816.15464074342,2836.9039391358,2871.91405516887,2135.66166820026,2229.17605335359,2845.22938922118,2854.59210929642,2944.41574309048,2944.46861778811,2944.50857838908,2880.42347021604,2856.10208395631,2850.53513364898,2938.46746143852,2951.96683470094,2168.6627893857,2170.72490259316,2828.84066957874,2755.73421207413,2806.96272787111,2792.75356661704,2858.63714549601,2774.18504492403,2766.04307247604,2763.8233098245,2826.42451519316,2816.48285372823,2169.75269041099,2281.9016297138
,7,3033.58368190153,2896.7464010642,2902.93225336219,2909.23481985448,2885.05938725317,2904.77068466909,2872.28125410585,3177.60290611472,2937.2069968725,2925.04679106703,2279.56417821915,2168.30850454538,2727.01350477449,2815.45898515943,2776.23302572383,2769.24674309541,2772.47721655689,2814.86810432189,2820.68578303409,2862.30085035095,2874.42207020425,2862.24797565333,2692.38447642385,2203.05644005012,2847.61874076465,2914.39558527266,2906.76676542007,2913.31981665503,2865.70237467757,2940.83074112647,3223.31612799099,2987.41018212747,2931.41514635361,2975.01362398699,2275.21675722807,2173.53530242004,2732.83118348669,2850.87650439265,2813.06865896715,2835.56452801664,2707.17160441881,2841.36807432118,2947.51561361221,2891.55956379051,2865.84711002499,2889.53643653521,2247.56109740921,2199.07719264482,2889.06446285178,3012.4272239712,3001.59351518823,3004.7971858076,3011.66577959292,2935.98527459645,2927.77726969197,2931.45413230577,2969.05242823837,2976.01166436248,2172.32673790285,2170.62012784671,2695.26090870722,2760.39595730457,2821.48596970233,2865.76816347186,2828.52537069059,2831.76900191093,2858.83378089225,2865.08444733572,2866.4767331525,2904.83647346337,2140.41527408049,2228.70310502135,2884.94048009906,2928.31625048069,2978.66441474528,2975.97267841031,2974.90884924054,2928.06674038681,2916.32685187816,2906.04406333176,2978.20535515851,2989.52517003256,2170.72490259316,2172.89154688488,2868.86705934477,2816.81131037524,2823.54808290979,2824.75664742699,2886.05742762866,2822.45818188451,2828.57824538821,2810.54748617292,2867.21234933746,2838.84690152695,2173.52238832339,2286.31386485036
,8,3082.40773909857,2954.92221353744,2963.89044450918,2946.13624189208,2958.46701123827,2960.55495263905,2927.61962024789,3225.22034809218,3002.13127766594,2978.37616236144,2286.93057388121,2172.70806924749,2767.10690164581,2865.99062706141,2832.68809573328,2805.53145610216,2838.17731779847,2862.39271100075,2865.79399166517,2898.55876051559,2934.98723422096,2907.59399859262,2692.87058251494,2208.95282165327,2905.8203814312,2978.24434111068,2972.75511904548,2959.89828300723,2951.45490041654,3002.05257477501,3278.23417683623,3036.1835575867,2996.44566386671,3026.03259029107,2275.29546011901,2174.30990455717,2780.65817495705,2901.6318281952,2865.28205738077,2880.23974891645,2771.40047329046,2891.55956379051,3005.66437958113,2941.22498656777,2925.03265865937,2937.98135534743,2248.70265482111,2198.17101291913,2946.17522784424,3079.93968466416,3049.70900270463,3054.21309849099,3055.79008025617,3009.93212303247,3005.36199478963,2999.62326263056,3023.99654893912,3029.94580523989,2182.04471746722,2170.84259143627,2742.0240710078,2817.29741646633,2859.70097466578,2901.43519279895,2872.30732596136,2891.29713959998,2928.86717071725,2923.53559809614,2912.71504707203,2948.67032878297,2141.03320142235,2233.77200978974,2943.22106731875,2997.92956667108,3030.34005068118,3019.95248738834,3022.57819126682,3001.17319789143,2989.32755998751,2972.84697969528,3037.12872326456,3039.83434834499,2173.71902371963,2171.21100868425,2914.39558527266,2885.59714973088,2869.79931092598,2872.07072996414,2934.71189593378,2890.64022630596,2900.90912610689,2867.40995938251,2905.54504314402,2890.08833142058,2175.99044275779,2286.53632843992
,9,3133.60879979889,3008.5913838575,3026.68792387888,2993.83033423389,3033.05627635433,3014.94682224199,2993.10885077507,3271.57490671252,3055.30262548993,3031.71686582641,2281.2697812746,2168.50418271805,2815.28693522934,2906.56762869244,2875.90494718561,2846.38406624887,2900.54064680998,2918.57115440402,2920.47439901627,2944.48023212897,2980.56731916106,2948.32765658517,2697.50530881622,2203.51452695902,2969.45827699468,3043.48282099684,3038.1512507292,3017.25844452292,3029.01124194031,3069.98375394687,3342.79002677674,3082.32865025143,3053.16181033653,3077.8762128171,2276.96232278589,2174.59719702785,2832.24070003226,2952.89778281066,2928.24916909534,2927.1463544602,2833.2387399672,2950.00941235443,3062.14416975094,2989.32624043574,2975.13121785531,2993.13467895698,2247.69070817079,2198.23583136566,3003.16795298061,3142.19691394603,3105.07280104404,3107.60688681633,3115.01445812051,3078.45417930285,3065.65022361416,3066.54348884889,3090.6272938315,3096.82605748988,2181.16340312321,2174.29578701821,2784.93857782311,2871.42668156936,2898.13740758189,2952.34686281728,2919.6610549482,2950.23187584579,2994.89416293407,2983.32508673518,2961.48687160617,3004.04732947601,2143.10703905153,2235.43889078594,3003.58827009187,3065.71625604149,3080.30552388919,3067.37096531838,3074.52780832836,3071.33607856574,3056.79968539233,3037.25920380493,3090.72012908912,3103.77237645108,2172.8776736341,2175.37277347143,2976.037397181,2944.02117274483,2910.53396025027,2924.33595587389,2978.25594054222,2950.49551823095,2961.80119570677,2927.82909564616,2953.48963803575,2944.97925209643,2181.26915247179,2292.01162466609
,10,3183.47205427271,3040.42388707517,3071.03466855609,3036.41881324448,3083.51016774276,3070.73228389807,3036.82597260271,3316.85390255942,3096.64257993348,3088.2769292777,2290.17319417071,2171.17008968292,2856.18074437971,2948.10519309381,2927.40877853489,2883.36320020523,2952.54349812673,2965.25559320617,2951.9267893681,2976.85074124907,3016.44388214439,2993.91025540056,2697.3076988584,2204.26305691022,3021.25060426266,3084.03525955423,3093.04344715055,3071.37603914907,3097.10163931762,3123.70734696785,3399.639317133,3125.29626747949,3093.4905670921,3131.96700461296,2275.42627694853,2175.18807760457,2876.71829125368,2984.63842541909,2980.46254446086,2962.03779159955,2881.72262332977,3004.90160877578,3101.10671314831,3028.32850075435,3020.26547841868,3040.55448995728,2246.10178765914,2194.70273101006,3051.36236577611,3174.77794711491,3148.46171003174,3156.22234770939,3170.26093922579,3134.71161443403,3113.17602762513,3123.28702985658,3144.06239093379,3165.00831547644,2183.80323824408,2169.22688448734,2832.67393123449,2903.69241598926,2939.2017801977,2996.65486522163,2962.7734074598,2997.95431516621,3035.59133677499,3033.2670440652,2997.32347400616,3059.55720930436,2150.80188796393,2231.27592391867,3058.49338060418,3108.22481388542,3121.67228116302,3116.24787563775,3125.87399030316,3119.49150542629,3100.13571970575,3083.49725365181,3141.52733051312,3157.99498943952,2176.77797276459,2167.49322869216,3019.38610192328,2977.95453053258,2954.5654061785,2959.62163828051,3030.73198364453,3003.70595888303,3003.96838295772,2972.59615743464,2997.31055991521,3002.28784549892,2187.23034558901,2289.46365015447
